dense_nodes,multiply_nodes,Accuracy,epochs
8,4,0.2936166666666667,100
10,2,0.6172,100
2,10,0.10005,200
4,8,0.20643333333333333,200
6,6,0.28296666666666664,200
8,4,0.67735,200
10,2,0.6161666666666666,200
2,10,0.15956666666666666,300
4,8,0.57845,300
6,6,0.7516,300
8,4,0.38961666666666667,300
10,2,0.5402666666666667,300
2,5,0.5482833333333333,100
4,4,0.3695333333333333,100
6,3,0.4162166666666667,100
8,2,0.6743,100
10,1,0.44743333333333335,100
2,5,0.44483333333333336,200
4,4,0.6692666666666667,200
6,3,0.44351666666666667,200
8,2,0.36643333333333333,200
10,1,0.6263166666666666,200
2,5,0.19908333333333333,300
4,4,0.7426666666666667,300
6,3,0.7286666666666667,300
8,2,0.48385,300
10,1,0.5546833333333333,300
